id,source,source_object_id,name,display_name,enabled,account_type,last_seen,raw_json,updated_at
13,ENTRA,006df677-9d05-4927-9af6-3aa49c561eb0,D365 Sales - Configuration Agent (Microsoft Copilot Studio),D365 Sales - Configuration Agent (Microsoft Copilot Studio),1,Application,,"{""id"": ""006df677-9d05-4927-9af6-3aa49c561eb0"", ""appId"": ""680a27c6-7148-4dc7-8ab4-9d4a89a3eca0"", ""displayName"": ""D365 Sales - Configuration Agent (Microsoft Copilot Studio)"", ""accountEnabled"": true, ""servicePrincipalType"": ""Application"", ""tags"": [""AgenticApp"", ""AIAgentBuilder"", ""AgentCreatedBy:CopilotStudio"", ""AgenticInstance"", ""power-virtual-agents-c19648e5-8390-0e7a-9e86-c42b199ace7f""]}",2026-06-11 19:29:40
14,ENTRA,00724534-b3a7-4d8d-8589-a5b1de516f69,Sales Qualification Agent Config Assistant (Microsoft Copilot Studio),Sales Qualification Agent Config Assistant (Microsoft Copilot Studio),1,ServiceIdentity,,"{""@odata.type"": ""#microsoft.graph.agentIdentity"", ""id"": ""00724534-b3a7-4d8d-8589-a5b1de516f69"", ""appId"": ""00724534-b3a7-4d8d-8589-a5b1de516f69"", ""displayName"": ""Sales Qualification Agent Config Assistant (Microsoft Copilot Studio)"", ""accountEnabled"": true, ""servicePrincipalType"": ""ServiceIdentity"", ""tags"": []}",2026-06-11 19:29:40
15,ENTRA,007c10ed-7440-4b5a-947a-d3aed2e81448,aznaepravdg-0,aznaepravdg-0,1,ManagedIdentity,,"{""id"": ""007c10ed-7440-4b5a-947a-d3aed2e81448"", ""appId"": ""c6fb5033-c3ff-47c6-8bfc-3d9a805bbac6"", ""displayName"": ""aznaepravdg-0"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
16,ENTRA,0081c56b-0c48-44f2-9618-a7bd051e7bee,AZGWCP-FW04,AZGWCP-FW04,1,ManagedIdentity,,"{""id"": ""0081c56b-0c48-44f2-9618-a7bd051e7bee"", ""appId"": ""228caef7-5e83-4bde-9583-cf663b23071e"", ""displayName"": ""AZGWCP-FW04"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
17,ENTRA,00875942-83dd-49f3-a2c6-bacd190a5b65,SEGOT-AP10,SEGOT-AP10,1,ManagedIdentity,,"{""id"": ""00875942-83dd-49f3-a2c6-bacd190a5b65"", ""appId"": ""ba154c93-f974-4693-a445-4e43c8989fc6"", ""displayName"": ""SEGOT-AP10"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
18,ENTRA,008b0ef7-d69a-4bfe-b7d1-2ce7c92a00d5,AvePoint Fly for Entra ID Source and Destination App,AvePoint Fly for Entra ID Source and Destination App,1,Application,,"{""id"": ""008b0ef7-d69a-4bfe-b7d1-2ce7c92a00d5"", ""appId"": ""1da3c5b1-ad1e-417d-a1dd-289dae98a1b3"", ""displayName"": ""AvePoint Fly for Entra ID Source and Destination App"", ""accountEnabled"": true, ""servicePrincipalType"": ""Application"", ""tags"": [""WindowsAzureActiveDirectoryIntegratedApp""]}",2026-06-11 19:29:40
19,ENTRA,008bd7d7-f48d-4c0c-b888-f473ec988f53,Workflow,Workflow,1,Legacy,,"{""id"": ""008bd7d7-f48d-4c0c-b888-f473ec988f53"", ""appId"": ""8fb6c9b0-97e6-475b-ab97-9053ab9ae0db"", ""displayName"": ""Workflow"", ""accountEnabled"": true, ""servicePrincipalType"": ""Legacy"", ""tags"": []}",2026-06-11 19:29:40
20,ENTRA,008d7219-35ca-47b9-a0ad-995ca0def5c9,APTIV-AZEUW-NAC-APP01,APTIV-AZEUW-NAC-APP01,1,ManagedIdentity,,"{""id"": ""008d7219-35ca-47b9-a0ad-995ca0def5c9"", ""appId"": ""8c860af7-6ae8-4913-860e-8b38b903bc99"", ""displayName"": ""APTIV-AZEUW-NAC-APP01"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
21,ENTRA,00aefd80-3f16-4d8a-a346-78e2d162f374,NLNHSRK-FS02,NLNHSRK-FS02,1,ManagedIdentity,,"{""id"": ""00aefd80-3f16-4d8a-a346-78e2d162f374"", ""appId"": ""e7415728-34c6-4171-abe0-2b2138c030f2"", ""displayName"": ""NLNHSRK-FS02"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
22,ENTRA,00af020e-0304-46a6-95b0-d53872d41874,Microsoft Stream Mobile Native,Microsoft Stream Mobile Native,1,Application,,"{""id"": ""00af020e-0304-46a6-95b0-d53872d41874"", ""appId"": ""844cca35-0656-46ce-b636-13f48b0eecbd"", ""displayName"": ""Microsoft Stream Mobile Native"", ""accountEnabled"": true, ""servicePrincipalType"": ""Application"", ""tags"": []}",2026-06-11 19:29:40
23,ENTRA,00b5de7f-c5c9-46ec-a043-477d00feafe5,Azure Traffic Manager and DNS,Azure Traffic Manager and DNS,1,Application,,"{""id"": ""00b5de7f-c5c9-46ec-a043-477d00feafe5"", ""appId"": ""2cf9eb86-36b5-49dc-86ae-9a63135dfa8c"", ""displayName"": ""Azure Traffic Manager and DNS"", ""accountEnabled"": true, ""servicePrincipalType"": ""Application"", ""tags"": []}",2026-06-11 19:29:40
24,ENTRA,00c9a04b-da8f-4b1d-bcb9-342d103db4fb,maps01-NonPrd-EMEA-MI,maps01-NonPrd-EMEA-MI,1,ManagedIdentity,,"{""id"": ""00c9a04b-da8f-4b1d-bcb9-342d103db4fb"", ""appId"": ""cde220f7-b31e-4f00-9e81-8cd98b61a698"", ""displayName"": ""maps01-NonPrd-EMEA-MI"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
25,ENTRA,00da37bb-097b-4b0c-8bfe-fd3b3fa0494e,Lodago,Lodago,1,Application,,"{""id"": ""00da37bb-097b-4b0c-8bfe-fd3b3fa0494e"", ""appId"": ""dc011b5f-549a-4dd2-81ea-f62e90e6a9a8"", ""displayName"": ""Lodago"", ""accountEnabled"": true, ""servicePrincipalType"": ""Application"", ""tags"": [""webApp"", ""apiConsumer"", ""WindowsAzureActiveDirectoryIntegratedApp""]}",2026-06-11 19:29:40
26,ENTRA,00dc7557-2d47-41ac-8a8f-b91b88bb4736,USOHWAR-DB09,USOHWAR-DB09,1,ManagedIdentity,,"{""id"": ""00dc7557-2d47-41ac-8a8f-b91b88bb4736"", ""appId"": ""5991f444-a5de-44c8-926f-6bee2286dbe7"", ""displayName"": ""USOHWAR-DB09"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
27,ENTRA,00dffd61-c8ba-47dc-b200-210a5957fc87,Customer Service Copilot Bot (Power Virtual Agents),Customer Service Copilot Bot (Power Virtual Agents),1,Application,,"{""id"": ""00dffd61-c8ba-47dc-b200-210a5957fc87"", ""appId"": ""aee6c909-51a6-48ff-9b21-9a57e4e56053"", ""displayName"": ""Customer Service Copilot Bot (Power Virtual Agents)"", ""accountEnabled"": true, ""servicePrincipalType"": ""Application"", ""tags"": [""AIAgentBuilder"", ""AgentCreatedBy:CopilotStudio"", ""AgenticApp"", ""power-virtual-agents-7a27687e-3478-400a-9f6c-cd685bb92fdb""]}",2026-06-11 19:29:40
28,ENTRA,00e07fe8-4338-4807-beca-f0e62072c39c,avdappp-70,avdappp-70,1,ManagedIdentity,,"{""id"": ""00e07fe8-4338-4807-beca-f0e62072c39c"", ""appId"": ""895ff3bd-ea7f-4912-b5b8-341c5b43758e"", ""displayName"": ""avdappp-70"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
29,ENTRA,00e39992-86e5-4572-8253-dae88e1a1e70,ECatAptivCom-eCatAptivComDev-635d1f97-a3c0-417e-9c6d-be516c899a02,ECatAptivCom-eCatAptivComDev-635d1f97-a3c0-417e-9c6d-be516c899a02,1,Application,,"{""id"": ""00e39992-86e5-4572-8253-dae88e1a1e70"", ""appId"": ""36b0f896-511a-4aed-ba45-717d5243f790"", ""displayName"": ""ECatAptivCom-eCatAptivComDev-635d1f97-a3c0-417e-9c6d-be516c899a02"", ""accountEnabled"": true, ""servicePrincipalType"": ""Application"", ""tags"": []}",2026-06-11 19:29:40
30,ENTRA,00f66e8f-689d-4077-ac88-3cc6e101fffa,Azure Guest Container Update Manager,Azure Guest Container Update Manager,1,Application,,"{""id"": ""00f66e8f-689d-4077-ac88-3cc6e101fffa"", ""appId"": ""c8f5141d-83e0-4e9a-84d0-bb6677e26f64"", ""displayName"": ""Azure Guest Container Update Manager"", ""accountEnabled"": true, ""servicePrincipalType"": ""Application"", ""tags"": []}",2026-06-11 19:29:40
31,ENTRA,00f9ae48-4775-4fdc-bdfa-fbfb5488e9ac,MXTAREY-AP11,MXTAREY-AP11,1,ManagedIdentity,,"{""id"": ""00f9ae48-4775-4fdc-bdfa-fbfb5488e9ac"", ""appId"": ""b5784817-898d-4138-83bb-0fc29c13cc12"", ""displayName"": ""MXTAREY-AP11"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
32,ENTRA,00fbbcf7-9267-42cc-8579-e7ff122238c7,USMITRY-NFS01,USMITRY-NFS01,1,ManagedIdentity,,"{""id"": ""00fbbcf7-9267-42cc-8579-e7ff122238c7"", ""appId"": ""71856016-75b8-4540-9e4b-64e866529d61"", ""displayName"": ""USMITRY-NFS01"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
33,ENTRA,01084376-015d-445b-8379-ed1a22e15eb0,NLNHSRK-IS15,NLNHSRK-IS15,1,ManagedIdentity,,"{""id"": ""01084376-015d-445b-8379-ed1a22e15eb0"", ""appId"": ""483cc7bb-4de7-47a7-aca1-ab573b086c7e"", ""displayName"": ""NLNHSRK-IS15"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
34,ENTRA,0110087a-d82a-4587-b8d6-6827c452c019,AZNAEP-TCT01,AZNAEP-TCT01,1,ManagedIdentity,,"{""id"": ""0110087a-d82a-4587-b8d6-6827c452c019"", ""appId"": ""d4a20e37-f9db-4f88-8d36-46377e3fcf98"", ""displayName"": ""AZNAEP-TCT01"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
35,ENTRA,01166fb4-4fba-4dc7-96d3-933504771d65,Stakeholder Agent (Microsoft Copilot Studio),Stakeholder Agent (Microsoft Copilot Studio),1,Application,,"{""id"": ""01166fb4-4fba-4dc7-96d3-933504771d65"", ""appId"": ""9f0be0ee-6732-4717-a8e7-048459b8bd9b"", ""displayName"": ""Stakeholder Agent (Microsoft Copilot Studio)"", ""accountEnabled"": true, ""servicePrincipalType"": ""Application"", ""tags"": [""AgenticApp"", ""AIAgentBuilder"", ""AgentCreatedBy:CopilotStudio"", ""AgenticInstance"", ""power-virtual-agents-a2824e14-eed2-6e0b-16b1-0f494ddb94c6""]}",2026-06-11 19:29:40
36,ENTRA,0116c9ce-8de1-41c6-9faa-9d2bcfe61061,NLNHSRK-AP162,NLNHSRK-AP162,1,ManagedIdentity,,"{""id"": ""0116c9ce-8de1-41c6-9faa-9d2bcfe61061"", ""appId"": ""170c0174-b981-4db7-9cc3-245a54f4ae2c"", ""displayName"": ""NLNHSRK-AP162"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
37,ENTRA,0119edd0-cff1-46b6-b02f-f58ab5bfead3,dvabmswebca,dvabmswebca,1,ManagedIdentity,,"{""id"": ""0119edd0-cff1-46b6-b02f-f58ab5bfead3"", ""appId"": ""fd2b84d1-b777-4464-8be0-fa4c3e37f514"", ""displayName"": ""dvabmswebca"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
38,ENTRA,011a9b30-8151-4299-b4e5-f77d173d8355,CNSHGCTC-SD02,CNSHGCTC-SD02,1,ManagedIdentity,,"{""id"": ""011a9b30-8151-4299-b4e5-f77d173d8355"", ""appId"": ""ed578f32-c791-47e4-bfc4-4831053cec96"", ""displayName"": ""CNSHGCTC-SD02"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
39,ENTRA,012f97cc-2751-46d8-9e31-403b2f31134c,AZAPP-NSIL1,AZAPP-NSIL1,1,ManagedIdentity,,"{""id"": ""012f97cc-2751-46d8-9e31-403b2f31134c"", ""appId"": ""d0536883-c247-42c7-9819-aebe14010fc0"", ""displayName"": ""AZAPP-NSIL1"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
40,ENTRA,0132935b-6973-4550-a830-6b2279e18d89,TokenBasedAuthentication_Read_PCL,TokenBasedAuthentication_Read_PCL,1,Application,,"{""id"": ""0132935b-6973-4550-a830-6b2279e18d89"", ""appId"": ""ebb806c3-f06b-4a3e-914e-1baf60fa43f5"", ""displayName"": ""TokenBasedAuthentication_Read_PCL"", ""accountEnabled"": true, ""servicePrincipalType"": ""Application"", ""tags"": []}",2026-06-11 19:29:40
41,ENTRA,014172c7-c6a7-4b62-8578-69cce450c294,NLNHSRK-AP191,NLNHSRK-AP191,1,ManagedIdentity,,"{""id"": ""014172c7-c6a7-4b62-8578-69cce450c294"", ""appId"": ""601672bd-87b9-4b15-a6d4-ffbcc3052057"", ""displayName"": ""NLNHSRK-AP191"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
42,ENTRA,01444f9b-4071-41ce-a294-f2c1b6621916,TckServicePrincipal,TckServicePrincipal,1,Application,,"{""id"": ""01444f9b-4071-41ce-a294-f2c1b6621916"", ""appId"": ""0d82733b-f8c8-40ce-80f9-bd1c2d4615ab"", ""displayName"": ""TckServicePrincipal"", ""accountEnabled"": true, ""servicePrincipalType"": ""Application"", ""tags"": []}",2026-06-11 19:29:40
43,ENTRA,01471896-c091-4eca-950a-b22c1cab7721,GSA-Internettrafficforwardingprofile,GSA-Internettrafficforwardingprofile,1,Application,,"{""id"": ""01471896-c091-4eca-950a-b22c1cab7721"", ""appId"": ""5f0c40c6-a255-4955-b27c-34cceeac34a7"", ""displayName"": ""GSA-Internettrafficforwardingprofile"", ""accountEnabled"": true, ""servicePrincipalType"": ""Application"", ""tags"": []}",2026-06-11 19:29:40
44,ENTRA,014eb080-a377-4559-9235-a463017a68b2,AWNAEP-TCAP10,AWNAEP-TCAP10,1,ManagedIdentity,,"{""id"": ""014eb080-a377-4559-9235-a463017a68b2"", ""appId"": ""480c42cd-00f7-49da-ba79-7b76410070f0"", ""displayName"": ""AWNAEP-TCAP10"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
45,ENTRA,014f86a8-81ca-4a90-a8db-b3688df8ae70,INTNMAA-AP02,INTNMAA-AP02,1,ManagedIdentity,,"{""id"": ""014f86a8-81ca-4a90-a8db-b3688df8ae70"", ""appId"": ""30042688-164f-4927-beac-ac27077808d2"", ""displayName"": ""INTNMAA-AP02"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
46,ENTRA,01599006-25b5-4715-ae9a-78e1674c7ee4,AZAPP-GETV002,AZAPP-GETV002,1,ManagedIdentity,,"{""id"": ""01599006-25b5-4715-ae9a-78e1674c7ee4"", ""appId"": ""347deab5-69f4-46cb-ab9b-3658334932dc"", ""displayName"": ""AZAPP-GETV002"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
47,ENTRA,015c849d-f094-42eb-a5b1-4f854f5cdfb8,NLNHSRK-CNDB43,NLNHSRK-CNDB43,1,ManagedIdentity,,"{""id"": ""015c849d-f094-42eb-a5b1-4f854f5cdfb8"", ""appId"": ""54cebca0-15e6-4306-9455-82ab139ea52e"", ""displayName"": ""NLNHSRK-CNDB43"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
48,ENTRA,01706f58-cde5-48d4-8fd4-e8107d7dc927,My Aptiv Password,My Aptiv Password,1,Application,,"{""id"": ""01706f58-cde5-48d4-8fd4-e8107d7dc927"", ""appId"": ""d247dfc8-6332-4862-9ab4-73c118e24d4d"", ""displayName"": ""My Aptiv Password"", ""accountEnabled"": true, ""servicePrincipalType"": ""Application"", ""tags"": [""WindowsAzureActiveDirectoryCustomSingleSignOnApplication"", ""WindowsAzureActiveDirectoryIntegratedApp""]}",2026-06-11 19:29:40
49,ENTRA,01796b2d-c3c9-41d1-9b65-63e93512c15d,AWNAET-TCAP08,AWNAET-TCAP08,1,ManagedIdentity,,"{""id"": ""01796b2d-c3c9-41d1-9b65-63e93512c15d"", ""appId"": ""e7f3356f-3a66-4b8c-9760-ec898218328e"", ""displayName"": ""AWNAET-TCAP08"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
50,ENTRA,01806344-32a3-4c82-81ec-016f526ba28b,Azure Service Fabric Resource Provider,Azure Service Fabric Resource Provider,1,Application,,"{""id"": ""01806344-32a3-4c82-81ec-016f526ba28b"", ""appId"": ""74cb6831-0dbb-4be1-8206-fd4df301cdc2"", ""displayName"": ""Azure Service Fabric Resource Provider"", ""accountEnabled"": true, ""servicePrincipalType"": ""Application"", ""tags"": []}",2026-06-11 19:29:40
51,ENTRA,018befd4-4632-4058-91c3-eaa87672d4dd,Customer Service Email Sentiment Generator (Microsoft Copilot Studio),Customer Service Email Sentiment Generator (Microsoft Copilot Studio),1,Application,,"{""id"": ""018befd4-4632-4058-91c3-eaa87672d4dd"", ""appId"": ""c62933cd-a5bd-4eb0-945b-ca3e4921ff05"", ""displayName"": ""Customer Service Email Sentiment Generator (Microsoft Copilot Studio)"", ""accountEnabled"": true, ""servicePrincipalType"": ""Application"", ""tags"": [""AgenticApp"", ""AIAgentBuilder"", ""AgentCreatedBy:CopilotStudio"", ""AgenticInstance"", ""power-virtual-agents-e8e74a24-1954-4be8-ca9d-7a3421865b70""]}",2026-06-11 19:29:40
52,ENTRA,018cd148-35cc-40b4-b54e-a20155e66731,AZNAENP-SNOW03,AZNAENP-SNOW03,1,ManagedIdentity,,"{""id"": ""018cd148-35cc-40b4-b54e-a20155e66731"", ""appId"": ""47f05c11-64a1-46a9-b11d-dfd554a4fb9f"", ""displayName"": ""AZNAENP-SNOW03"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
53,ENTRA,018de929-fd9b-4345-aeaf-d71716d70cb4,TEST-rpa-office365-app,TEST-rpa-office365-app,1,Application,,"{""id"": ""018de929-fd9b-4345-aeaf-d71716d70cb4"", ""appId"": ""256b4c57-eee0-4e49-ad46-4e59147d3235"", ""displayName"": ""TEST-rpa-office365-app"", ""accountEnabled"": true, ""servicePrincipalType"": ""Application"", ""tags"": [""HideApp"", ""WindowsAzureActiveDirectoryIntegratedApp""]}",2026-06-11 19:29:40
54,ENTRA,01a1c3e7-c728-4184-887a-47e94df53dc7,Microsoft Teams Shifts,Microsoft Teams Shifts,1,Application,,"{""id"": ""01a1c3e7-c728-4184-887a-47e94df53dc7"", ""appId"": ""aa580612-c342-4ace-9055-8edee43ccb89"", ""displayName"": ""Microsoft Teams Shifts"", ""accountEnabled"": true, ""servicePrincipalType"": ""Application"", ""tags"": []}",2026-06-11 19:29:40
55,ENTRA,01a212ea-c542-42c6-87e4-8c45da546162,Microsoft AI School,Microsoft AI School,1,Application,,"{""id"": ""01a212ea-c542-42c6-87e4-8c45da546162"", ""appId"": ""bca82233-72bc-4162-97cb-4b35a97bebaa"", ""displayName"": ""Microsoft AI School"", ""accountEnabled"": true, ""servicePrincipalType"": ""Application"", ""tags"": [""WindowsAzureActiveDirectoryIntegratedApp""]}",2026-06-11 19:29:40
56,ENTRA,01a4013f-17da-4705-8850-e517d1d0e9e3,MYTEKTE-DB02,MYTEKTE-DB02,1,ManagedIdentity,,"{""id"": ""01a4013f-17da-4705-8850-e517d1d0e9e3"", ""appId"": ""a8598619-0e8c-4f67-a7eb-712876250e57"", ""displayName"": ""MYTEKTE-DB02"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
57,ENTRA,01abe414-6436-4966-834c-74e871e97b64,AZNAEP-TRAP02,AZNAEP-TRAP02,1,ManagedIdentity,,"{""id"": ""01abe414-6436-4966-834c-74e871e97b64"", ""appId"": ""ab755d65-213d-48f0-9fcd-5b119719c22d"", ""displayName"": ""AZNAEP-TRAP02"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
58,ENTRA,01ad433d-09d3-4006-a13c-210d8f049969,NLNHSRK-DB91,NLNHSRK-DB91,1,ManagedIdentity,,"{""id"": ""01ad433d-09d3-4006-a13c-210d8f049969"", ""appId"": ""6b673735-4046-43e4-87c3-a02176fefaad"", ""displayName"": ""NLNHSRK-DB91"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
59,ENTRA,01b0b91e-dcf4-4797-9ddb-7ce69db2881d,Azure Key Vault Managed HSM,Azure Key Vault Managed HSM,1,Application,,"{""id"": ""01b0b91e-dcf4-4797-9ddb-7ce69db2881d"", ""appId"": ""589d5083-6f11-4d30-a62a-a4b316a14abf"", ""displayName"": ""Azure Key Vault Managed HSM"", ""accountEnabled"": true, ""servicePrincipalType"": ""Application"", ""tags"": []}",2026-06-11 19:29:40
60,ENTRA,01bb7223-9a08-4417-9054-f719219ffb9a,MAFKMEK-AP14,MAFKMEK-AP14,1,ManagedIdentity,,"{""id"": ""01bb7223-9a08-4417-9054-f719219ffb9a"", ""appId"": ""3f62eb27-695f-4fa5-af53-1245d079a03b"", ""displayName"": ""MAFKMEK-AP14"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
